tamanho,tipo,param,execucao,tempo_us
100,sequencial,1,1,323
100,sequencial,1,2,329
100,sequencial,1,3,313
100,sequencial,1,4,288
100,sequencial,1,5,308
100,sequencial,1,6,306
100,sequencial,1,7,310
100,sequencial,1,8,311
100,sequencial,1,9,339
100,sequencial,1,10,301
100,threads,2,1,169
100,threads,2,2,171
100,threads,2,3,157
100,threads,2,4,156
100,threads,2,5,158
100,threads,2,6,169
100,threads,2,7,157
100,threads,2,8,157
100,threads,2,9,175
100,threads,2,10,159
100,threads,4,1,85
100,threads,4,2,88
100,threads,4,3,185
100,threads,4,4,156
100,threads,4,5,82
100,threads,4,6,86
100,threads,4,7,87
100,threads,4,8,130
100,threads,4,9,198
100,threads,4,10,81
100,threads,8,1,50
100,threads,8,2,96
100,threads,8,3,46
100,threads,8,4,41
100,threads,8,5,91
100,threads,8,6,63
100,threads,8,7,42
100,threads,8,8,41
100,threads,8,9,42
100,threads,8,10,117
100,threads,16,1,53
100,threads,16,2,50
100,threads,16,3,24
100,threads,16,4,37
100,threads,16,5,22
100,threads,16,6,30
100,threads,16,7,100
100,threads,16,8,29
100,threads,16,9,57
100,threads,16,10,22
100,processos,2,1,164
100,processos,2,2,207
100,processos,2,3,170
100,processos,2,4,167
100,processos,2,5,164
100,processos,2,6,163
100,processos,2,7,169
100,processos,2,8,159
100,processos,2,9,157
100,processos,2,10,153
100,processos,4,1,86
100,processos,4,2,111
100,processos,4,3,82
100,processos,4,4,82
100,processos,4,5,89
100,processos,4,6,80
100,processos,4,7,140
100,processos,4,8,124
100,processos,4,9,93
100,processos,4,10,130
100,processos,8,1,42
100,processos,8,2,48
100,processos,8,3,45
100,processos,8,4,46
100,processos,8,5,50
100,processos,8,6,41
100,processos,8,7,52
100,processos,8,8,43
100,processos,8,9,70
100,processos,8,10,57
100,processos,16,1,39
100,processos,16,2,29
100,processos,16,3,23
100,processos,16,4,35
100,processos,16,5,25
100,processos,16,6,24
100,processos,16,7,36
100,processos,16,8,41
100,processos,16,9,31
100,processos,16,10,30
200,sequencial,1,1,2792
200,sequencial,1,2,2975
200,sequencial,1,3,2754
200,sequencial,1,4,2858
200,sequencial,1,5,2826
200,sequencial,1,6,2785
200,sequencial,1,7,2837
200,sequencial,1,8,2752
200,sequencial,1,9,2820
200,sequencial,1,10,2828
200,threads,2,1,1454
200,threads,2,2,1370
200,threads,2,3,1388
200,threads,2,4,1425
200,threads,2,5,1468
200,threads,2,6,1487
200,threads,2,7,1534
200,threads,2,8,1573
200,threads,2,9,1374
200,threads,2,10,1405
200,threads,4,1,930
200,threads,4,2,749
200,threads,4,3,812
200,threads,4,4,749
200,threads,4,5,727
200,threads,4,6,929
200,threads,4,7,728
200,threads,4,8,908
200,threads,4,9,913
200,threads,4,10,929
200,threads,8,1,817
200,threads,8,2,864
200,threads,8,3,549
200,threads,8,4,571
200,threads,8,5,560
200,threads,8,6,841
200,threads,8,7,507
200,threads,8,8,627
200,threads,8,9,516
200,threads,8,10,619
200,threads,16,1,264
200,threads,16,2,513
200,threads,16,3,268
200,threads,16,4,247
200,threads,16,5,367
200,threads,16,6,443
200,threads,16,7,380
200,threads,16,8,293
200,threads,16,9,443
200,threads,16,10,508
200,processos,2,1,1418
200,processos,2,2,1469
200,processos,2,3,1459
200,processos,2,4,1486
200,processos,2,5,1462
200,processos,2,6,1449
200,processos,2,7,1433
200,processos,2,8,1496
200,processos,2,9,1523
200,processos,2,10,1441
200,processos,4,1,737
200,processos,4,2,744
200,processos,4,3,802
200,processos,4,4,736
200,processos,4,5,744
200,processos,4,6,744
200,processos,4,7,926
200,processos,4,8,765
200,processos,4,9,720
200,processos,4,10,732
200,processos,8,1,398
200,processos,8,2,378
200,processos,8,3,414
200,processos,8,4,391
200,processos,8,5,395
200,processos,8,6,406
200,processos,8,7,396
200,processos,8,8,380
200,processos,8,9,432
200,processos,8,10,480
200,processos,16,1,230
200,processos,16,2,202
200,processos,16,3,238
200,processos,16,4,247
200,processos,16,5,220
200,processos,16,6,215
200,processos,16,7,229
200,processos,16,8,264
200,processos,16,9,243
200,processos,16,10,259
400,sequencial,1,1,29134
400,sequencial,1,2,27899
400,sequencial,1,3,28345
400,sequencial,1,4,28091
400,sequencial,1,5,28134
400,sequencial,1,6,28535
400,sequencial,1,7,29224
400,sequencial,1,8,28171
400,sequencial,1,9,27592
400,sequencial,1,10,27863
400,threads,2,1,14233
400,threads,2,2,13979
400,threads,2,3,14498
400,threads,2,4,14498
400,threads,2,5,13909
400,threads,2,6,13735
400,threads,2,7,14005
400,threads,2,8,14205
400,threads,2,9,13912
400,threads,2,10,14648
400,threads,4,1,7658
400,threads,4,2,7547
400,threads,4,3,7628
400,threads,4,4,8179
400,threads,4,5,8152
400,threads,4,6,8445
400,threads,4,7,8039
400,threads,4,8,7278
400,threads,4,9,7226
400,threads,4,10,10671
400,threads,8,1,6339
400,threads,8,2,5866
400,threads,8,3,7749
400,threads,8,4,4748
400,threads,8,5,7009
400,threads,8,6,4435
400,threads,8,7,6645
400,threads,8,8,5979
400,threads,8,9,5261
400,threads,8,10,6691
400,threads,16,1,4288
400,threads,16,2,4297
400,threads,16,3,5358
400,threads,16,4,5812
400,threads,16,5,4236
400,threads,16,6,4726
400,threads,16,7,4696
400,threads,16,8,4617
400,threads,16,9,13585
400,threads,16,10,4247
400,processos,2,1,14862
400,processos,2,2,15093
400,processos,2,3,14493
400,processos,2,4,15033
400,processos,2,5,18094
400,processos,2,6,15904
400,processos,2,7,14608
400,processos,2,8,15338
400,processos,2,9,14956
400,processos,2,10,14616
400,processos,4,1,9721
400,processos,4,2,8420
400,processos,4,3,9587
400,processos,4,4,9486
400,processos,4,5,9075
400,processos,4,6,9110
400,processos,4,7,9789
400,processos,4,8,8901
400,processos,4,9,9490
400,processos,4,10,8985
400,processos,8,1,4516
400,processos,8,2,4637
400,processos,8,3,4745
400,processos,8,4,4870
400,processos,8,5,5325
400,processos,8,6,4946
400,processos,8,7,5702
400,processos,8,8,5271
400,processos,8,9,5421
400,processos,8,10,5173
400,processos,16,1,2878
400,processos,16,2,2794
400,processos,16,3,2787
400,processos,16,4,2903
400,processos,16,5,2768
400,processos,16,6,2830
400,processos,16,7,3028
400,processos,16,8,2986
400,processos,16,9,2952
400,processos,16,10,2657
800,sequencial,1,1,351820
800,sequencial,1,2,352211
800,sequencial,1,3,350194
800,sequencial,1,4,350081
800,sequencial,1,5,350446
800,sequencial,1,6,351605
800,sequencial,1,7,347072
800,sequencial,1,8,379027
800,sequencial,1,9,349941
800,sequencial,1,10,353434
800,threads,2,1,173915
800,threads,2,2,173929
800,threads,2,3,173655
800,threads,2,4,172626
800,threads,2,5,171932
800,threads,2,6,175525
800,threads,2,7,175479
800,threads,2,8,174132
800,threads,2,9,173766
800,threads,2,10,173035
800,threads,4,1,91397
800,threads,4,2,90528
800,threads,4,3,93545
800,threads,4,4,91321
800,threads,4,5,91714
800,threads,4,6,92032
800,threads,4,7,92417
800,threads,4,8,91272
800,threads,4,9,90833
800,threads,4,10,91436
800,threads,8,1,65392
800,threads,8,2,73584
800,threads,8,3,72490
800,threads,8,4,69426
800,threads,8,5,61906
800,threads,8,6,61374
800,threads,8,7,59687
800,threads,8,8,70161
800,threads,8,9,74736
800,threads,8,10,69990
800,threads,16,1,64192
800,threads,16,2,52685
800,threads,16,3,52732
800,threads,16,4,58317
800,threads,16,5,57797
800,threads,16,6,55598
800,threads,16,7,56871
800,threads,16,8,61201
800,threads,16,9,54675
800,threads,16,10,53684
800,processos,2,1,182594
800,processos,2,2,179845
800,processos,2,3,184889
800,processos,2,4,187030
800,processos,2,5,187408
800,processos,2,6,179059
800,processos,2,7,191141
800,processos,2,8,180861
800,processos,2,9,184293
800,processos,2,10,181293
800,processos,4,1,123387
800,processos,4,2,120741
800,processos,4,3,113844
800,processos,4,4,112858
800,processos,4,5,123542
800,processos,4,6,126849
800,processos,4,7,121549
800,processos,4,8,113360
800,processos,4,9,123519
800,processos,4,10,110825
800,processos,8,1,150770
800,processos,8,2,101900
800,processos,8,3,98149
800,processos,8,4,118181
800,processos,8,5,162661
800,processos,8,6,117907
800,processos,8,7,134357
800,processos,8,8,112316
800,processos,8,9,119916
800,processos,8,10,112788
800,processos,16,1,61110
800,processos,16,2,66092
800,processos,16,3,63598
800,processos,16,4,46565
800,processos,16,5,68805
800,processos,16,6,45871
800,processos,16,7,62108
800,processos,16,8,59376
800,processos,16,9,49380
800,processos,16,10,52414
